property_name,bhk,sale_price,rent_price,area_sqft,price_per_sqft,micro_market,city,source,listing_url,gross_rental_yield,source_count,affordability_index
Mahindra Grandeur,1 BHK,30263975,72068,469,61822,Bandra,Mumbai,99acres,https://www.99acres.com/property/9542350,2.86,1,191.86
Lodha Bliss,3 BHK,77054723,208012,1331,60801,Bandra,Mumbai,MagicBricks,https://www.magicbricks.com/property/6755176,3.24,2,188.69
Lodha Bliss,3 BHK,77054723,208012,1331,60801,Bandra,Mumbai,NoBroker,https://www.nobroker.in/property/1276854,3.24,2,188.69
Shapoorji Haven,3 BHK,88080104,158662,1281,66960,Bandra,Mumbai,MagicBricks,https://www.magicbricks.com/property/470384,2.16,1,207.81
Kalpataru Gardens,3 BHK,111490912,230016,1547,69914,Bandra,Mumbai,NoBroker,https://www.nobroker.in/property/6256413,2.48,1,216.97
Rustomjee Premia,2 BHK,66910334,115273,933,74204,Bandra,Mumbai,MagicBricks,https://www.magicbricks.com/property/8927604,2.07,1,230.29
Wadhwa Palava,3 BHK,133584332,275395,1846,72228,Bandra,Mumbai,NoBroker,https://www.nobroker.in/property/4161176,2.47,1,224.15
Kanakia Enclave,1 BHK,32476440,92158,493,67478,Bandra,Mumbai,MagicBricks,https://www.magicbricks.com/property/6033889,3.41,3,209.41
Kanakia Enclave,1 BHK,32476440,92158,493,67478,Bandra,Mumbai,Housing.com,https://housing.com/buy/7227274,3.41,3,209.41
Kanakia Enclave,1 BHK,32476440,92158,493,67478,Bandra,Mumbai,99acres,https://www.99acres.com/property/8758163,3.41,3,209.41
Rustomjee Premia,2 BHK,57522672,131876,804,68322,Bandra,Mumbai,99acres,https://www.99acres.com/property/277817,2.75,2,212.03
Rustomjee Premia,2 BHK,57522672,131876,804,68322,Bandra,Mumbai,MagicBricks,https://www.magicbricks.com/property/6808820,2.75,2,212.03
Mahindra Nest,1 BHK,31605619,60569,474,66142,Bandra,Mumbai,NoBroker,https://www.nobroker.in/property/935442,2.3,1,205.27
Kanakia Meadows,1 BHK,31996371,69229,585,52452,Bandra,Mumbai,Housing.com,https://housing.com/buy/6662355,2.6,1,162.78
Rustomjee Paradise,4 BHK,188375876,444692,2686,73631,Bandra,Mumbai,Housing.com,https://housing.com/buy/164459,2.83,2,228.51
Rustomjee Paradise,4 BHK,188375876,444692,2686,73631,Bandra,Mumbai,99acres,https://www.99acres.com/property/9665694,2.83,2,228.51
Wadhwa Megapolis,3 BHK,81358568,215407,1181,69115,Bandra,Mumbai,NoBroker,https://www.nobroker.in/property/3409017,3.18,3,214.49
Wadhwa Megapolis,3 BHK,81358568,215407,1181,69115,Bandra,Mumbai,MagicBricks,https://www.magicbricks.com/property/5354618,3.18,3,214.49
Wadhwa Megapolis,3 BHK,81358568,215407,1181,69115,Bandra,Mumbai,Housing.com,https://housing.com/buy/7674956,3.18,3,214.49
Wadhwa Regent,4 BHK,179738475,383633,2830,64072,Bandra,Mumbai,NoBroker,https://www.nobroker.in/property/8688156,2.56,1,198.84
Godrej Vista,2 BHK,54118302,145436,942,56071,Bandra,Mumbai,99acres,https://www.99acres.com/property/2003782,3.22,2,174.01
Godrej Vista,2 BHK,54118302,145436,942,56071,Bandra,Mumbai,MagicBricks,https://www.magicbricks.com/property/8264174,3.22,2,174.01
Hiranandani Riviera,2 BHK,82205800,166267,1158,73446,Bandra,Mumbai,Housing.com,https://housing.com/buy/2028735,2.43,2,227.93
Hiranandani Riviera,2 BHK,82205800,166267,1158,73446,Bandra,Mumbai,MagicBricks,https://www.magicbricks.com/property/1828950,2.43,2,227.93
Dosti Pinnacle,1 BHK,33013771,68146,507,65816,Bandra,Mumbai,Housing.com,https://housing.com/buy/7947246,2.48,1,204.25
Shapoorji Panorama,1 BHK,32497370,64293,613,54447,Bandra,Mumbai,99acres,https://www.99acres.com/property/587615,2.37,1,168.97
Mahindra Regent,2 BHK,61812393,107036,1160,51567,Bandra,Mumbai,NoBroker,https://www.nobroker.in/property/3274893,2.08,3,160.03
Mahindra Regent,2 BHK,61812393,107036,1160,51567,Bandra,Mumbai,Housing.com,https://housing.com/buy/8040055,2.08,3,160.03
Mahindra Regent,2 BHK,61812393,107036,1160,51567,Bandra,Mumbai,99acres,https://www.99acres.com/property/5835708,2.08,3,160.03
Rustomjee Serenity,3 BHK,117247722,273979,1780,68368,Bandra,Mumbai,NoBroker,https://www.nobroker.in/property/4681713,2.8,1,212.17
Shapoorji Paradise,2 BHK,56356361,127592,1028,56870,Bandra,Mumbai,99acres,https://www.99acres.com/property/3448544,2.72,1,176.49
Godrej Meadows,2 BHK,49136850,124014,852,58376,Bandra,Mumbai,Housing.com,https://housing.com/buy/9171844,3.03,1,181.17
Rustomjee Gardens,2 BHK,69670328,172950,1074,62685,Bandra,Mumbai,NoBroker,https://www.nobroker.in/property/7686206,2.98,1,194.54
Mahindra Nest,2 BHK,65035868,164877,998,67165,Bandra,Mumbai,99acres,https://www.99acres.com/property/7284583,3.04,2,208.44
Mahindra Nest,2 BHK,65035868,164877,998,67165,Bandra,Mumbai,MagicBricks,https://www.magicbricks.com/property/5849831,3.04,2,208.44
Runwal Riviera,4 BHK,107623216,287114,1943,52960,Bandra,Mumbai,NoBroker,https://www.nobroker.in/property/7971636,3.2,1,164.36
Godrej Paradise,4 BHK,119548161,291324,1953,63796,Bandra,Mumbai,MagicBricks,https://www.magicbricks.com/property/177751,2.92,1,197.99
Mahindra Serenity,2 BHK,61838917,164845,965,62434,Bandra,Mumbai,MagicBricks,https://www.magicbricks.com/property/9319237,3.2,1,193.76
Oberoi Haven,1 BHK,30901570,67672,597,50957,Bandra,Mumbai,NoBroker,https://www.nobroker.in/property/7332291,2.63,1,158.14
Mahindra Springs,4 BHK,157045230,333235,2367,67906,Bandra,Mumbai,MagicBricks,https://www.magicbricks.com/property/4435249,2.55,2,210.74
Mahindra Springs,4 BHK,157045230,333235,2367,67906,Bandra,Mumbai,NoBroker,https://www.nobroker.in/property/7401163,2.55,2,210.74
Shapoorji Exotica,3 BHK,90979560,240372,1383,63035,Bandra,Mumbai,Housing.com,https://housing.com/buy/9867651,3.17,1,195.62
Kanakia Greens,3 BHK,99884778,246017,1847,52248,Bandra,Mumbai,MagicBricks,https://www.magicbricks.com/property/420548,2.96,1,162.15
Kanakia Exotica,1 BHK,36092942,73480,572,61111,Bandra,Mumbai,MagicBricks,https://www.magicbricks.com/property/3089080,2.44,1,189.65
L&T Sapphire,4 BHK,166547448,460615,3055,51935,Bandra,Mumbai,99acres,https://www.99acres.com/property/527869,3.32,1,161.18
Tata Bliss,4 BHK,131629057,234263,1981,65463,Bandra,Mumbai,99acres,https://www.99acres.com/property/7790001,2.14,2,203.16
Tata Bliss,4 BHK,131629057,234263,1981,65463,Bandra,Mumbai,MagicBricks,https://www.magicbricks.com/property/8102661,2.14,2,203.16
Hiranandani Luxuria,4 BHK,132963386,222508,2137,65246,Bandra,Mumbai,NoBroker,https://www.nobroker.in/property/8034669,2.01,1,202.49
Piramal Greens,2 BHK,41139808,116278,808,49428,Bandra,Mumbai,NoBroker,https://www.nobroker.in/property/8216016,3.39,1,153.4
Dosti Phase 2,1 BHK,32332717,74279,610,55070,Bandra,Mumbai,MagicBricks,https://www.magicbricks.com/property/8526197,2.76,1,170.91
L&T Grandeur,2 BHK,58796410,150169,1098,54805,Bandra,Mumbai,NoBroker,https://www.nobroker.in/property/5142201,3.06,1,170.08
Runwal Towers,3 BHK,53114455,135635,1054,48529,Bandra,Mumbai,99acres,https://www.99acres.com/property/4639749,3.06,2,150.61
Runwal Towers,3 BHK,53114455,135635,1054,48529,Bandra,Mumbai,NoBroker,https://www.nobroker.in/property/5475825,3.06,2,150.61
Dosti Meadows,3 BHK,109141724,310966,1784,63429,Bandra,Mumbai,Housing.com,https://housing.com/buy/7027781,3.42,1,196.85
Kanakia Bliss,3 BHK,77051241,167333,1443,53352,Bandra,Mumbai,NoBroker,https://www.nobroker.in/property/1024751,2.61,2,165.57
Kanakia Bliss,3 BHK,77051241,167333,1443,53352,Bandra,Mumbai,99acres,https://www.99acres.com/property/3116575,2.61,2,165.57
Shapoorji Megapolis,2 BHK,69450231,151238,1082,64758,Bandra,Mumbai,MagicBricks,https://www.magicbricks.com/property/6055575,2.61,1,200.97
Oberoi Riviera,1 BHK,28847206,56213,479,60380,Bandra,Mumbai,Housing.com,https://housing.com/buy/7049820,2.34,1,187.38
Shapoorji Towers,3 BHK,94869654,223238,1587,58109,Bandra,Mumbai,99acres,https://www.99acres.com/property/5311128,2.82,1,180.34
Piramal Serenity,3 BHK,95010173,267738,1361,67212,Bandra,Mumbai,99acres,https://www.99acres.com/property/8018716,3.38,1,208.59
Piramal Nest,2 BHK,55701935,97854,936,61888,Bandra,Mumbai,NoBroker,https://www.nobroker.in/property/4926844,2.11,2,192.06
Piramal Nest,2 BHK,55701935,97854,936,61888,Bandra,Mumbai,Housing.com,https://housing.com/buy/1812644,2.11,2,192.06
L&T Regent,2 BHK,32769082,89701,686,46255,Bandra,Mumbai,Housing.com,https://housing.com/buy/5132270,3.28,2,143.55
L&T Regent,2 BHK,32769082,89701,686,46255,Bandra,Mumbai,99acres,https://www.99acres.com/property/3712701,3.28,2,143.55
Kanakia Paradise,4 BHK,129084744,326100,1930,68172,Bandra,Mumbai,Housing.com,https://housing.com/buy/9263929,3.03,1,211.57
Tata Paradise,1 BHK,31037272,58082,560,55285,Bandra,Mumbai,NoBroker,https://www.nobroker.in/property/9892415,2.25,1,171.57
Piramal Megapolis,3 BHK,90657226,201891,1200,78356,Bandra,Mumbai,99acres,https://www.99acres.com/property/9197418,2.67,3,243.17
Piramal Megapolis,3 BHK,90657226,201891,1200,78356,Bandra,Mumbai,MagicBricks,https://www.magicbricks.com/property/1591662,2.67,3,243.17
Piramal Megapolis,3 BHK,90657226,201891,1200,78356,Bandra,Mumbai,Housing.com,https://housing.com/buy/3132810,2.67,3,243.17
Hiranandani Serenity,4 BHK,99822507,202813,2107,48677,Bandra,Mumbai,Housing.com,https://housing.com/buy/4983570,2.44,1,151.07
Godrej Regent,1 BHK,33316365,82561,467,70373,Bandra,Mumbai,Housing.com,https://housing.com/buy/6176919,2.97,1,218.4
Rustomjee Exotica,2 BHK,42114902,114648,682,62766,Bandra,Mumbai,Housing.com,https://housing.com/buy/8534952,3.27,1,194.79
Wadhwa Riviera,3 BHK,94397973,197519,1431,63734,Bandra,Mumbai,99acres,https://www.99acres.com/property/5218246,2.51,1,197.79
Lodha Springs,2 BHK,52482491,99116,707,73274,Bandra,Mumbai,99acres,https://www.99acres.com/property/4537252,2.27,2,227.4
Lodha Springs,2 BHK,52482491,99116,707,73274,Bandra,Mumbai,NoBroker,https://www.nobroker.in/property/4260654,2.27,2,227.4
Mahindra Crown,3 BHK,57890277,147357,1307,45298,Bandra,Mumbai,NoBroker,https://www.nobroker.in/property/6241540,3.05,1,140.58
L&T Boulevard,2 BHK,88503909,254066,1192,72645,Bandra,Mumbai,NoBroker,https://www.nobroker.in/property/834360,3.44,1,225.45
Runwal Vista,3 BHK,68118876,169227,1114,60825,Bandra,Mumbai,MagicBricks,https://www.magicbricks.com/property/2953459,2.98,1,188.77
L&T Serenity,3 BHK,111565996,191654,1971,58816,Bandra,Mumbai,NoBroker,https://www.nobroker.in/property/8762549,2.06,1,182.53
Shapoorji Heights,2 BHK,91057005,242100,1193,77007,Bandra,Mumbai,Housing.com,https://housing.com/buy/8040391,3.19,1,238.99
Piramal Lakeside,4 BHK,121545105,209974,2556,48166,Bandra,Mumbai,MagicBricks,https://www.magicbricks.com/property/7650646,2.07,1,149.48
Kalpataru Luxuria,3 BHK,124787615,332903,1713,71144,Bandra,Mumbai,MagicBricks,https://www.magicbricks.com/property/6256787,3.2,1,220.79
Lodha Phase 2,4 BHK,161883109,275796,2554,62280,Bandra,Mumbai,99acres,https://www.99acres.com/property/6145066,2.04,1,193.28
Wadhwa Meadows,2 BHK,71008049,194090,1020,70690,Bandra,Mumbai,99acres,https://www.99acres.com/property/4029706,3.28,1,219.38
Wadhwa Premia,2 BHK,49854845,104400,952,54637,Bandra,Mumbai,Housing.com,https://housing.com/buy/5382448,2.51,1,169.56
Hiranandani Pinnacle,2 BHK,69571297,165945,1200,60161,Bandra,Mumbai,Housing.com,https://housing.com/buy/5992606,2.86,1,186.7
Wadhwa Heights,2 BHK,55081162,116959,923,61941,Bandra,Mumbai,MagicBricks,https://www.magicbricks.com/property/5592613,2.55,1,192.23
Wadhwa Vista,2 BHK,42005467,92082,659,64756,Bandra,Mumbai,Housing.com,https://housing.com/buy/5454480,2.63,1,200.97
Wadhwa Meadows,2 BHK,46296571,129769,841,56028,Bandra,Mumbai,Housing.com,https://housing.com/buy/2234710,3.36,1,173.88
Hiranandani Paradise,3 BHK,89429577,185100,1591,57702,Bandra,Mumbai,MagicBricks,https://www.magicbricks.com/property/2904144,2.48,1,179.07
L&T Vista,3 BHK,85104886,192506,1250,68506,Bandra,Mumbai,NoBroker,https://www.nobroker.in/property/2631059,2.71,1,212.6
Rustomjee Residency,4 BHK,211661808,501507,3185,68616,Bandra,Mumbai,99acres,https://www.99acres.com/property/9557958,2.84,1,212.94
Runwal Meadows,3 BHK,97326471,174742,1935,48087,Bandra,Mumbai,MagicBricks,https://www.magicbricks.com/property/5764202,2.15,1,149.23
Piramal Residency,2 BHK,41942150,72575,686,62308,Bandra,Mumbai,NoBroker,https://www.nobroker.in/property/699231,2.08,1,193.37
Godrej Paradise,3 BHK,82819603,181162,1449,57768,Bandra,Mumbai,NoBroker,https://www.nobroker.in/property/2820897,2.62,3,179.28
Godrej Paradise,3 BHK,82819603,181162,1449,57768,Bandra,Mumbai,Housing.com,https://housing.com/buy/4946069,2.62,3,179.28
Godrej Paradise,3 BHK,82819603,181162,1449,57768,Bandra,Mumbai,MagicBricks,https://www.magicbricks.com/property/389553,2.62,3,179.28
Godrej Springs,2 BHK,58932482,117400,833,68413,Bandra,Mumbai,NoBroker,https://www.nobroker.in/property/4850647,2.39,1,212.31
Godrej Serenity,3 BHK,81269923,140384,1333,58452,Bandra,Mumbai,99acres,https://www.99acres.com/property/1994436,2.07,1,181.4
Wadhwa Towers,1 BHK,24126028,40489,437,52989,Bandra,Mumbai,NoBroker,https://www.nobroker.in/property/2492224,2.01,2,164.45
Wadhwa Towers,1 BHK,24126028,40489,437,52989,Bandra,Mumbai,Housing.com,https://housing.com/buy/979713,2.01,2,164.45
Mahindra Boulevard,3 BHK,105245086,287675,1569,70573,Bandra,Mumbai,Housing.com,https://housing.com/buy/9196056,3.28,3,219.02
Mahindra Boulevard,3 BHK,105245086,287675,1569,70573,Bandra,Mumbai,NoBroker,https://www.nobroker.in/property/5613658,3.28,3,219.02
Mahindra Boulevard,3 BHK,105245086,287675,1569,70573,Bandra,Mumbai,99acres,https://www.99acres.com/property/4599128,3.28,3,219.02
Kanakia Panorama,3 BHK,116526284,240588,1910,59156,Bandra,Mumbai,NoBroker,https://www.nobroker.in/property/3034784,2.48,1,183.59
L&T Lakeside,2 BHK,42825607,72973,769,58143,Bandra,Mumbai,99acres,https://www.99acres.com/property/7110102,2.04,2,180.44
L&T Lakeside,2 BHK,42825607,72973,769,58143,Bandra,Mumbai,Housing.com,https://housing.com/buy/3084852,2.04,2,180.44
L&T Paradise,2 BHK,76839212,140170,1056,72088,Bandra,Mumbai,MagicBricks,https://www.magicbricks.com/property/1812144,2.19,1,223.72
Kanakia Riviera,3 BHK,47687411,138676,1121,44701,Bandra,Mumbai,99acres,https://www.99acres.com/property/1737508,3.49,3,138.73
Kanakia Riviera,3 BHK,47687411,138676,1121,44701,Bandra,Mumbai,NoBroker,https://www.nobroker.in/property/6255740,3.49,3,138.73
Kanakia Riviera,3 BHK,47687411,138676,1121,44701,Bandra,Mumbai,MagicBricks,https://www.magicbricks.com/property/1905295,3.49,3,138.73
Kanakia Megapolis,1 BHK,29286827,73106,468,63890,Bandra,Mumbai,MagicBricks,https://www.magicbricks.com/property/8751495,3.0,2,198.28
Kanakia Megapolis,1 BHK,29286827,73106,468,63890,Bandra,Mumbai,NoBroker,https://www.nobroker.in/property/8406403,3.0,2,198.28
Mahindra Phase 1,3 BHK,78176388,196511,1253,63046,Bandra,Mumbai,99acres,https://www.99acres.com/property/7608379,3.02,1,195.66
Runwal Lakeside,4 BHK,121684529,323888,2054,62279,Bandra,Mumbai,Housing.com,https://housing.com/buy/9400794,3.19,1,193.28
Kalpataru Vista,4 BHK,119521636,221520,1960,59887,Bandra,Mumbai,Housing.com,https://housing.com/buy/9134568,2.22,2,185.85
Kalpataru Vista,4 BHK,119521636,221520,1960,59887,Bandra,Mumbai,NoBroker,https://www.nobroker.in/property/2513265,2.22,2,185.85
Runwal Grandeur,2 BHK,53365606,114228,766,67128,Bandra,Mumbai,Housing.com,https://housing.com/buy/7338245,2.57,1,208.33
Dosti Nest,3 BHK,104867369,288242,1950,51690,Bandra,Mumbai,Housing.com,https://housing.com/buy/4612489,3.3,2,160.42
Dosti Nest,3 BHK,104867369,288242,1950,51690,Bandra,Mumbai,99acres,https://www.99acres.com/property/329086,3.3,2,160.42
Kalpataru Boulevard,4 BHK,241343497,521291,3480,66764,Bandra,Mumbai,99acres,https://www.99acres.com/property/5756847,2.59,1,207.2
Oberoi Towers,2 BHK,64826374,145938,970,64043,Bandra,Mumbai,99acres,https://www.99acres.com/property/4001658,2.7,1,198.75
Hiranandani Phase 1,1 BHK,31322564,89592,483,65908,Bandra,Mumbai,NoBroker,https://www.nobroker.in/property/4832711,3.43,3,204.54
Hiranandani Phase 1,1 BHK,31322564,89592,483,65908,Bandra,Mumbai,MagicBricks,https://www.magicbricks.com/property/2100672,3.43,3,204.54
Hiranandani Phase 1,1 BHK,31322564,89592,483,65908,Bandra,Mumbai,99acres,https://www.99acres.com/property/9758882,3.43,3,204.54
Lodha Exotica,3 BHK,70997143,122338,1185,61390,Bandra,Mumbai,MagicBricks,https://www.magicbricks.com/property/6559939,2.07,1,190.52
Oberoi Meadows,2 BHK,62866777,164879,1136,56500,Bandra,Mumbai,NoBroker,https://www.nobroker.in/property/1141723,3.15,1,175.34
Kanakia Meadows,4 BHK,249972420,459676,3474,75174,Bandra,Mumbai,99acres,https://www.99acres.com/property/8183290,2.21,1,233.3
Runwal Paradise,3 BHK,112088047,222297,1846,62822,Bandra,Mumbai,99acres,https://www.99acres.com/property/5883855,2.38,1,194.96
Rustomjee Luxuria,3 BHK,102324363,267751,1740,59372,Bandra,Mumbai,NoBroker,https://www.nobroker.in/property/6073309,3.14,1,184.26
Hiranandani Megapolis,1 BHK,44169120,88221,636,72339,Bandra,Mumbai,99acres,https://www.99acres.com/property/2528063,2.4,2,224.5
Hiranandani Megapolis,1 BHK,44169120,88221,636,72339,Bandra,Mumbai,MagicBricks,https://www.magicbricks.com/property/8802078,2.4,2,224.5
Tata Enclave,4 BHK,211565955,492997,3008,71483,Bandra,Mumbai,99acres,https://www.99acres.com/property/1696415,2.8,1,221.84
Wadhwa Premia,4 BHK,131818647,300537,1926,68321,Bandra,Mumbai,Housing.com,https://housing.com/buy/8272036,2.74,1,212.03
Piramal Vista,1 BHK,27944325,63411,509,52525,Bandra,Mumbai,MagicBricks,https://www.magicbricks.com/property/2606527,2.72,2,163.01
Piramal Vista,1 BHK,27944325,63411,509,52525,Bandra,Mumbai,Housing.com,https://housing.com/buy/8755761,2.72,2,163.01
Oberoi Exotica,1 BHK,29281091,71060,407,73251,Bandra,Mumbai,Housing.com,https://housing.com/buy/5365671,2.91,1,227.33
Kanakia Megapolis,2 BHK,79203682,178415,1112,69546,Bandra,Mumbai,MagicBricks,https://www.magicbricks.com/property/6850500,2.7,1,215.83
Lodha Phase 2,1 BHK,29319288,71687,485,58723,Bandra,Mumbai,NoBroker,https://www.nobroker.in/property/2198350,2.93,1,182.24
Runwal Habitat,4 BHK,166578385,484473,2703,64855,Bandra,Mumbai,NoBroker,https://www.nobroker.in/property/4397182,3.49,2,201.27
Runwal Habitat,4 BHK,166578385,484473,2703,64855,Bandra,Mumbai,MagicBricks,https://www.magicbricks.com/property/1608034,3.49,2,201.27
Kalpataru Phase 1,3 BHK,108022049,278091,1497,73488,Bandra,Mumbai,99acres,https://www.99acres.com/property/6616505,3.09,1,228.06
Oberoi Sapphire,2 BHK,72339122,136592,980,74995,Bandra,Mumbai,Housing.com,https://housing.com/buy/498511,2.27,1,232.74
Wadhwa Phase 2,2 BHK,57338973,133653,809,67554,Bandra,Mumbai,Housing.com,https://housing.com/buy/3675737,2.8,1,209.65
Hiranandani Phase 1,2 BHK,78064026,184929,1172,67259,Bandra,Mumbai,Housing.com,https://housing.com/buy/9080153,2.84,1,208.73
Shapoorji Habitat,2 BHK,43869739,97247,754,58722,Bandra,Mumbai,MagicBricks,https://www.magicbricks.com/property/7357352,2.66,2,182.24
Shapoorji Habitat,2 BHK,43869739,97247,754,58722,Bandra,Mumbai,NoBroker,https://www.nobroker.in/property/6662805,2.66,2,182.24
Rustomjee Phase 2,1 BHK,35129591,96341,622,54950,Bandra,Mumbai,MagicBricks,https://www.magicbricks.com/property/1804428,3.29,1,170.53
Wadhwa Bliss,2 BHK,37389295,93850,721,53005,Bandra,Mumbai,NoBroker,https://www.nobroker.in/property/5466581,3.01,1,164.5
Kanakia Heights,3 BHK,110823068,271352,1769,64220,Bandra,Mumbai,99acres,https://www.99acres.com/property/5243013,2.94,1,199.3
Kanakia Boulevard,3 BHK,65274075,180192,1400,47095,Bandra,Mumbai,MagicBricks,https://www.magicbricks.com/property/9365780,3.31,1,146.16
Rustomjee City,4 BHK,148087185,363838,2358,62866,Bandra,Mumbai,99acres,https://www.99acres.com/property/4087992,2.95,1,195.1
Kanakia Phase 2,4 BHK,247139064,642044,3352,70364,Bandra,Mumbai,MagicBricks,https://www.magicbricks.com/property/4858015,3.12,1,218.37
Godrej Exotica,2 BHK,65843466,130958,1035,64986,Bandra,Mumbai,Housing.com,https://housing.com/buy/2935473,2.39,1,201.68
Lodha Springs,3 BHK,83632904,140173,1219,70966,Bandra,Mumbai,MagicBricks,https://www.magicbricks.com/property/8407820,2.01,1,220.24
L&T Meadows,1 BHK,29650333,86429,575,52139,Bandra,Mumbai,MagicBricks,https://www.magicbricks.com/property/8789573,3.5,2,161.81
L&T Meadows,1 BHK,29650333,86429,575,52139,Bandra,Mumbai,99acres,https://www.99acres.com/property/9335716,3.5,2,161.81
Oberoi Exotica,4 BHK,156803428,314384,2876,52981,Bandra,Mumbai,NoBroker,https://www.nobroker.in/property/4580656,2.41,1,164.42
Godrej Serenity,3 BHK,59848128,141056,1111,54284,Bandra,Mumbai,NoBroker,https://www.nobroker.in/property/6561598,2.83,1,168.47
Kanakia Greens,4 BHK,110018169,283459,1840,62315,Bandra,Mumbai,NoBroker,https://www.nobroker.in/property/3040075,3.09,1,193.39
Rustomjee Phase 3,2 BHK,45143663,95178,904,49092,Bandra,Mumbai,NoBroker,https://www.nobroker.in/property/8230183,2.53,1,152.35
Rustomjee Gardens,2 BHK,60315780,137565,867,67533,Bandra,Mumbai,Housing.com,https://housing.com/buy/3147870,2.74,3,209.58
Rustomjee Gardens,2 BHK,60315780,137565,867,67533,Bandra,Mumbai,MagicBricks,https://www.magicbricks.com/property/5385015,2.74,3,209.58
Rustomjee Gardens,2 BHK,60315780,137565,867,67533,Bandra,Mumbai,99acres,https://www.99acres.com/property/2877660,2.74,3,209.58
Oberoi Luxuria,1 BHK,18026641,47499,416,43611,Bandra,Mumbai,Housing.com,https://housing.com/buy/8248959,3.16,1,135.34
Hiranandani Premia,2 BHK,48649517,113857,664,70974,Bandra,Mumbai,Housing.com,https://housing.com/buy/5916696,2.81,2,220.26
Hiranandani Premia,2 BHK,48649517,113857,664,70974,Bandra,Mumbai,NoBroker,https://www.nobroker.in/property/2648774,2.81,2,220.26
Mahindra Regent,3 BHK,80867333,171968,1201,67572,Bandra,Mumbai,MagicBricks,https://www.magicbricks.com/property/6521902,2.55,1,209.7
Lodha City,1 BHK,28948418,54592,588,50879,Bandra,Mumbai,Housing.com,https://housing.com/buy/9904844,2.26,1,157.9
Shapoorji Vista,1 BHK,39043740,107781,647,60999,Bandra,Mumbai,NoBroker,https://www.nobroker.in/property/4599445,3.31,1,189.31
Lodha Panorama,2 BHK,48218045,124647,755,65241,Bandra,Mumbai,99acres,https://www.99acres.com/property/8302613,3.1,1,202.47
Lodha Boulevard,3 BHK,72427568,164730,1464,48975,Bandra,Mumbai,99acres,https://www.99acres.com/property/2659864,2.73,1,151.99
